sentiment,content
1,first lie in month great mooching house
1,beautiful monday morning happy http myloc me tct
1,love app thing hella awesome bro
0,lindseynhess agree 100 great day window see it
1,evanmcbroom sure mayor brainard thrilled hear fan
0,impala_guy past ok since iï ½ve got appartment car itï ½s difficult save money
0,broke girlfriend feeling lonely heartbroken sad time guy n
1,natsnapper haha booked lie last night woke up must needed it
1,guy follow ginoboi rx twitterwar dd go ginoooo
0,deathstar destroys starship enterprice http bit ly 2agcth can t get enough video starwars startrek
1,good morning hoping throw back coffee like right now
0,dont wanna miss laker game tonight sad
0,dtballa2322 want forgive forget this please dont like promise going live without drama now so please
1,garrettmurray here wanted keep going end ever
0,stupid rain picnic cancelled till tomorrow
0,papercakes hate happens hope figure soon
1,novawildstar nothing sort nevertheless shall go share magnificence wider world
0,chicago pretty much sold tshirts
0,bored kinda lonely parent went lake friend bring knew bored go
0,illy s note book quot from one geek another keep good work quot sigh missed great espresso
0,watched prison break special sad ending
0,bummed missing rock climbing trip next week
1,willy9e going sleep kidding p
0,going busy day suck cause wanted spend time someone earlier today
1,rodsmack_10k much appreciated yeah sure challenge great reward trade anything
0,got gym w no energy
1,santoscarmen that s lot mango haha baka naglilihi ka ahh haha joke lang carmen
1,russellburnham nice one
1,taking mum lunch mother day
1,obsessing chris pine heehee
0,tracybelle hang you but tennessee
0,creationswheart ive wanting gone mo amp close shop
1,danacea happy star war day
0,ugh car got stolen sometime yesterday evening morning husband due go work like afford this
0,watched wayyyy much beverly hill today proud fact tv fail
1,zaragreen problem keep comin
0,good morning beautiful today shame going spend day unpaid taxi driver
1,julienviet propellerheads harddrive long while got music repo back shape felt nostalgic
0,want ride bicycle today cold cloudy today http snipurl com izzsn
0,jmorgan0909 getting another one there s alfie
1,fatdaddysweets yay busy good
0,oh miss truck could whole place moved now
1,gothlitchic nice inside
0,chrissligh saddened see felt need comment clay know care lost one follower today
1,martinhavlat dang wish could go ticket sunday game
1,good morning driving work
0,gjerninger sure want know http bit ly auuac make want run news happy star war day
0,proctorsarm least posada good ab
1,last drop thesis god let end today
0,dont get see boy tomorroww im sad
1,dtatusko thx do always make chatty night
0,frgmnt know lame
1,darrylep lol splurge chocolate then plan splurging little tomorrow
1,ahh saved mowing lawn rain plenty time go kayaking blessed rain god
0,arikhanson shoot voted somehow looked boo hiss forgive great weekend arik
0,back know misunderstood see thru ur eye u love mama love
1,hellolizzi oh hahah thats ok
1,sexy_pickle lol thank much hope great day
1,sambennington welcome twitter really cool here greeting vienna austria
1,partied long hard goodnight twitter see ya mornin
0,disappointed cadbury chocolate block got smaller
0,really wishing would let go let fight own i m tired feeling like shit you
1,antsrants driving insane want lie in
1,sueveeyall haha wish could
1,drew8890 haha want another bagel blueberry cream cheese left bagel
0,sitting around fuck all tired
1,
0,good friend lt 3 miss much
0,madly love row wishing money
0,smileyquanta oh good wanting watch movie nooobody would watch w me
0,deadlyknitshade ooh soon get meet dung mouse
0,hi everyone miss much muahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
0,please vote sympathy bgt
1,also lipton s sparkling green tea gross
0,sun breaking cloud and covered again
1,dougiemcfly haha dude b date p wish u ur b day 3oth november also turn u reply please
0,moving back home today pro obnoxiously closer thom1937 con mpls run excursion least year
1,trying sweet lil ipod totally nerding out and totally ok
1,nicolahunt nice way end week
1,watching favorite tv show hulu com free
0,mandyyjirouxx today mtv allow u vote
1,really want star hope flawless work
1,english class working interactive oral
0,sad http bit ly b8jth love kelly lt 3
0,daynah work iphone yet love simplicity need able sort task iphone useful
0,really missing daughter haiti wishing could go back
1,cooked breakfast mom happy
1,ppittman old comfy like worn sweat said love sarcastic heart muster
1,jtimberlake went resteraunt nyc aaaaaaaaaamazing
1,little foster kitten getting big chubba winston going b missed get amazing home
1,
0,awful hiccup today can t fall asleep
1,moodleman somehow going figure come sydney one day
0,elmers10 miss u
0,dorritos repressd get migranes repressd leaf either arthritis and or gout
0,cont small child puppy cleche sarcasm annoying bcreative again that s harrd
1,natalie_brown thank much natalie hope u well
0,melly16 hmm certain one ive gave liking muck head give sometimes tbh
0,figure quoted wildly optimistic stuff science fiction bit disapointed ciber sabip
0,singz think im jst abt done ur girrrlfriend im leavin im leavin jst love cm
1,school rusty put oh love ipod awh
0,ac building died like past day
1,excited summer steve winwood eric clapton eagle death metal ahhh dead weather
0,siwhitehouse work except used word autofollow got followed bot selling autofollow program
1,tfollowers thanks folow
1,goodnight twitterland hope weekend going great
1,happy mother s day fellow montreal blockhead mom join club one day lol
0,get sucked true life steve o documentary intense love shit nice see people get life back
1,ceemce home friday make too
0,dawnrichard awww that s nice make really beautiful couple balance other
1,happy superwomans day
0,love americana movie see
0,already miss cmontecillo
1,kusuma06 aaa new follower hiii
0,seoulbeats romance zero funny
0,laundry time lot it
1,llcooldave yeah r im going concert end month
1,http tinyurl com c8nlzh forgot much like song
1,work im ina good mood
1,
1,deepaprabhu thanks thanks
1,sanazypoo omg hahaha thought joking twittering that hahaha awesome good time
1,heading hollywood studio today manta kraken awesome yesterday feeling like ride
0,gonna able talk
1,kristenstewart9 wow can t believe u reached facebook limit friend crazy
1,good morning going kick butt day
0,late nothin do
0,kesoleil oh man yogg today worse last week
1,quirke wish still around litter azalea caught dd back yard bunny lap
1,happy anniversary tayloredot hellohouston know whyyyy three year baby
0,w4m clever headline sorry salt lake city 29yr http tinyurl com mpoghc
0,ti89 died know why
0,tomorrow roomy gone
0,gross hot there s cotton everywhere hello allergy
1,way home ny then sleeping
1,robinmeyers look like full lincoln marathon yesterday awesome hm tough
0,rainy day today car stuck house needed go post office too bastard
0,
1,almost ready leave house head wthr
1,good morning everyone
1,good morning twitterworld slept less
0,cab slow probably miss first beer
0,fall_in_love aww too miss you
0,sunburn itch ouch
1,under_control aw babyy sorry gots excited haha lt 333
1,karlaam_ blouse ahahaha gave money went get it where s mom
1,shefinds great job
0,apple fail set new british mac dashboard weather widget london canada uk one hard tell too
0,rawrgoesaimee ah bibisita ka kina gq bukas sasama ka sa rusher eb able visit jumpstart tom coz something
1,raining missed rain much grateful
1,safig lol wat vibe doin atlantic amp where s ur shirt twitter pic lol
1,guess late sigjeans
1,officialtila tilaaa make feel special haha hater day
0,the_wockeez donniewahlberg wanna miss show you guy kick it sad say my plane shop
1,yessss got twin lock welcome twiin
0,cindyefolson signal make internet quot go quot pretty bad getting tech get fixed up though
0,youtube working properly anyone else can t watch video keep failing load
1,mortensax promise thanks
1,listenin da beach girl5 itunes
1,theshoctor pezhore o3visuals n9vls victory need reinstall damn apps
1,ernalicious36 raerosero thanks homskis like christmas
1,nightshade10 wooops meant agree boomstone trying reply both lol happy mother day well tty soon
0,joooo no geek mind think alike
0,marvelvscapcom doesnt work already
1,like heavenly blushhhh
0,lost follower oh well probably one mute one anyway
0,realblackwidow dun wanna
0,audreyallure really thinking staying till tomorrow back philly 2nite wanna stay bad
0,
0,think june gloom arrived
1,mr_trick good next month going awesome
0,
0,alo sad quiet empty tonight
1,loveloyaltylife impressive way 100
1,justcierra yep sang song
0,
0,sadly bprohibiting tweeting tonight sorry
0,ughhh tummy ache
0,first sport banquet without katie
1,mileycyrus think fun gotta hide defend enemy fun huh
1,taylorswift13 wish could come swindon 2 hour away it dream meet xoxo
1,elderwand oh see today hehe
1,listening hardqueen last night underground screening awesome job latapia
1,welsh_lottie one favourite pastime weekend long weekend monday ice show w g daughter
0,kylehamilton wow saw tweet proflowers fiasco that s fun
0,watching quot all king men quot pretty good far
0,livinghandy de 2 0 stay tuned http www livinghandy de
0,hobosexual lol went buy new laptop feb already knew lol looked anyway walked away sadfaced
1,colie5cent 300 later feel good guilty
1,jerrytrainor never miss icarly son huge crush miranda
0,nancy___ got tweet suck love
1,found rollo got happy hmmm guess really need inserted back matrix 0_o
1,csi ny come back au sex lie silicone s05e04 evryone east coast tune tonight pleaseee
1,chicagogirl gotcha place atlantic side better surfing plus like close crazy foreign restaurant mmm fl
0,going sleep now 5 10 09 gt happy mother s day amp happy birthday me
1,alancostello well a long tree yeh definately need go find one maybe crutch tho p
0,home w bae amp myka meann
0,tgif bad weather suck
0,mssbxny artery tomorrow hagen daz
1,moneymakn1 thats actually fun would think hurting week similar experience
1,cyberprvideo heard of first mention me
0,harry baked love cassie online
0,dinosuit idk stupid 7th grader
0,fizzythoughts boo work beatwittyparty least still here
1,sway sway baby zommgg love need screamo tho boy
0,panda express long missed
0,supergirlnancy sorry code posted site
1,roflwolf yeah basically awesome
1,beautiful day wish energy enjoy it
0,kellyolexa monday start friday least work day week long day
1,yummy taco jack box
1,chi_twnzfinest happy birthday sweetie great day best place word sorry chicago jeje
1,remirockit sound like town
1,new phrase you never doubt mo williams six game win streak
0,dont wanna work 11 830 tomorrow get paid
1,ddlovato demi say hi it s enough replay please love much
0,saikatblogger wow effect thanks update
1,bit soul time mama visialize next living environent speak soon
0,ftskirstin im depressed like baddddd
0,look like office tv get mlb network look like mlbn televising det bal game today wieters
1,sabrina1989 thought simple one found hilarious
1,photo great night http tumblr com xmo1pgymj
0,t_rothlisberger that s fucking awesome bookmark
1,welcome aboard new follower thanks honored
1,danni_30439 really wish could go
0,browsin thru video multiply saw video u sang bf miss you n miss you pls come back wherever u r
0,theguigirl awwww thanks unfortunately everything close 4pm sweden friday presentation 9am monday
1,miketattoos lol oh man un twit something haha mean lean mean fighting machine sooo can t believe called out
0,missing best friend commme back kayla going little
0,tommcfly sweet england becoming lamer lamer since guy left
1,mshollywooddiva hahahaha watching too miss ocean 10
0,_supernatural_ http twitpic com 6695k hhaha wanna cry
0,spent morning watching eddie izzard s glorious funny realli shud hav studied thou
1,geramie yeah thinking ahaha
0,gfalcone601 ohhh ok thats upsetting sorry wasting time xx
1,6am sunday going meet mom breakfast beach
1,http twitpic com 66uq4 hotttt weather getting blackk start rain
0,annainthehouse dude feel really bad work serial can t used
0,hard keep everything there s whole coldplaying twitter facebook talk real life impossible
0,fuck 20 35 oh god internal clock really fucked up nooooo
0,santa cruz interview jamba tomorrow morning
0,hairstylist left salon without telling going damn
0,good day im skint
1,whatever workweek s over time go play new phone sim card transfer contact list
1,
0,madeleinelaurin why cat pain
1,top cashier work today woot woot drink
1,thanks much everyone came speakeasy last night hit wonderful see fun june awesome
1,kelseyrose56 wish going too still coming nicoles preprom nicolesx319 can t wait preprom
1,cactopus too thanks completing calvin appreciated
1,aaronstewart try 5 drawer horizontal cabinet full non digital fun sec amp finra make job joyful can t hire temp either
1,casndra okayy mail thenn lol im hyperrr much candy amp amp jello x
1,happy mother day mom
1,girl talk awesome
0,can t wait see marco later feeling best
1,mikeescamilla tonyhawk flippin sweet dude thanks sharing
1,know sunshine wonderful today alright day text twitterer
0,coffee turn good tiday excellent
0,mathewhulbert there s film tv job especially wmids can t afford move away yet sorry missed 107 3
0,worked car plant once nobody belief though repect hard workin folk world
0,shanisfearless gaah rain tomorrow
1,yay back home
0,kmaco214 probably bed depends aide today
1,
1,good morning everbody
0,wish london personally witness nun run great idea opening sister act s new broadway show
0,screw goin back bed ill go tomorrow kinda sad
0,really want see up one want go
0,nickiminaj nicklaus iï ½m mad missed va last night gonna snatch make wifey minee
1,played bit pool buddy going bed now work tomorrow
1,laptop laptop taking sooooooooooo long load fdms myspace page
0,jus skinned knee wat 6 hurt lyke hell tho always tha little one hurt tha most
0,gatorsnow feeling hurt
0,nooo ill must paracetamol nice weather today though
1,2night dance party fun time amp awkward situation highlight driving w nim annie listening satellite window downnnn
1,superficialgirl yeah tomato paste oil traditional sandwich eat olive maltese cheese yum
0,
1,ouutside city talkin trey trey misssed
0,work oh first day monthly visitor ahhhhhh
1,hungry already impressed everybody gone ruby
1,another bday w special friend
0,another long day glad weekend but still call
1,jeg007jeg yay coutch couch
0,captainflashman oh poor you
1,kellykleinwi okay thanks
1,xojennypennyxo like you
0,
0,velmadaria still thinking fkc meal missed yesterday
0,joshuardean mii shit list permanent mii dude
1,finally got set key store celebrate
1,novahalle love everrything breadtalk would eat whole place could
0,definitely working sunday afternoon late evening
1,laughed much today picture lauren chest hurt
0,want hang play can t fiddle faddle workload
1,natburleson nope husband golfing amp tornado amp playing im spoiled everyday esp last sunday tattoo
0,ha give kristen plenty free hug sigh could
0,sargedunn1 oh sorry friend katie amp best keep cheery
0,animalbehavior_ sorry dead as gonna
0,
0,g night world vacation end day
1,bigeyedfishie amazing best time hope good weekend too
1,timdifford ohhh beautiful place hols go steady mead
0,turn get go see decemberists
1,may unintentionally snubbed someone due ineptness shyness feel badly
1,dayv79 haha playing
1,wonder33woman yes see mitch hedberg whole floss thing hilarious lt 3 him poor guy
0,gt gt why blonde keep failing driver license test gt gt gt gt gt everytime stopped jumped back seat
1,met one nerdiest server chili s today lol awesome favorite
1,niccisnail definitely write it look forward article re5 if write it fun
1,going dinner bb
1,amp kelly share last name wouldnt sweet related theellenshow
1,
0,
0,fml ughhhhhhhhh im going anwhere today sit bedroom share mother cry
0,feel like fish im big glass car dealership looking world people walking fun sun im stuck here
1,
1,girlfromthemoon i yay moment today yay hope too
1,flisstee think late night friday hit town meet friend soon ice cream coffee
0,selenagomez come back canada soon miss you
1,spazzyyarn totally got you think awesome
1,lol mom present cost dollar
0,ya ll turned device update can t turn em back on feel so so out touch
0,crypticirnangel sad nothing
1,snuffel16 gl say hi me
0,spencerkeasey yeah suck working nano take 75 music off sad
1,get bitten rabies infested person last night yay me gonna scare rachel quarantine tonight shall fun
1,baseball game whoo hooo banquet yesterday hyhtt sooo fun
1,chioma_ yeeeee haha funniest thing dude cant ball bring hot gfs along watch get murked
0,spent day bridget small thing got wind farted lot oh yeah baby slightly broody
0,robincareyyo you kickable
0,danielbachhuber so tmobile g1 hummer h1 wish battery life iphone
0,lost respect someone
1,excited lot good thing happening work wise melbourne
1,enjoying weather go work last shift jamieallover
0,booo meanie victoria teasing piece cheese http twitpic com 67rt8
1,caraciao haha s started yesterday dad helped much
1,great long weekend far going run judo tonight blue water quot retail therapy quot
0,
0,today started well
0,thanks much discount code looking forward trying pad
1,went friend s house watch good old season episode supernatural lt 3 damn love show soo fucking much
0,envyamor sad missed guy last night
0,theycallmetap http bit ly 3orh6 lt lt miss music like
1,astaldoia definitely something egg yummy
0,evaluating people dont like part job
0,working freakin computer trying save stuff harddrive seems failed miserably
0,still sick sigh
1,steviewynn good morning favourite pcso today
0,last night bad guy tried enter garden alone really got scared now feel really stupid funny
0,cried way final episode er previously er documentary it
0,sweena can t charge hour then
1,sirreigns that s like hear unfollow u little people twitter make big u
1,clyp1976 thanks definitely will next season rainy come two month s time
0,applecharlotte unfair wanna go too
0,also think talking now okay need get bed btw miss brother
0,lizz_xx cheer lizzi b another foh hero concert still suppose b upset xoxoxo
0,bored well like one see havent got friend
1,heycassadee super excited bought tix see hey monday 6 20 again svetlana j denver co
1,andreamichellef s birthday today wish good one asshole sleepytime
0,qdakid q dont get love anymore
1,jon amp kate kid attracted huge tv audience tabloid headline and now state labor investigation http tinyurl com l7zt72
0,wanna watch quot up quot badly
0,well twitts waiting response dawnrichard partying good time so maybe day
0,never starbucks coffee entire life people keep making jealous
1,tarabellejeanne awhhh nice see you
0,lucky jade nacklace matching earring ain t lucky lost earring chain broke pendant
1,gericaquinn lmao haha nice lolz good though wait lol
0,sheiroq fuckyoumonday like it totally crap tastic rainy day here work hug
1,shaktijs http twitpic com 4wkym look yummy i haz smal pie pleess
0,rode moped mall fun stuff flippin gorgeous out sad maeannette sick
0,got attic w sadie art work included good time broke head phone bad time still happy buy attic
0,left inn im school dang straight dead here lt 3hannah
0,sad day love maï ½ 8 year ago
1,appledoe mmmm honey mustard chicken w rice amp veges
0,finding song idea cover actually indeed thinking awesome make day
0,way get crate bella dolce sad cuz livingdeaderin going tto richmond
0,grossnoises miss yoooouuuu
1,phone ultra fast latest firmware update installed
0,kind lonely nobody answer phone
0,ugh wish school year would go faster move life
1,going back manila evening trip cebu bitin
0,bhuto given way kunal khemu etc starrers turn out there high probability shit rather niche
1,ivy_blue chauffeur quot some kind wonderful quot idea perfect woman
0,staronmainest idk lol head hurt rly bad amp stomach hmm personally think s ive deal wit
1,
0,
0,im really sleepy want go bed but upstairs mess know im gonna clean nooooo
0,excited blowing another candle today a kid
1,looking website working
0,angiemartinez too florida last weekend rain came back home ri rain terrible
1,kevin_anr_shine feeling pretty good check http www myspace com bigcitymonkey saying
1,ssnape yes though perhaps thinking like vague seems popper term you
1,
1,saw xmen origin sat far best xmen movie amazing
0,
0,hmmm lovely wish now tired can t sleep
0,feeling bored miss school time
0,sorting twitter issue very frustrated can t talk someone respond slowly issue capacity challenge
0,need stop sick
0,undeniable truth suck talking people good making connection come either strange distant
0,left cali morning in dallas now missing car much
1,thanks everyone twittering me still newbie friend would like invite here please help girl
1,pandalion wow totally awesome action guinea pig want go see now now think allowed take lance
0,kenyaimagine much injustice imagine now get worse get better afraid doubt here sorry
1,fantastic weekend hairdresser stylish luncheon amp fabulous girlie night wine cheese amp chocolate and dancing till morning
1,great album lucky vinyl http blip fm 5jhtv
0,advice you dont pressure wash foot hurt worth it really want skin foot fyi ow
1,live p2v migrates vmware vsp exam magento config quiet weekend party central
1,done planting garden hope sun shine soon
0,slow get 1 tix
0,shaw guy want sleeping
0,oh gosh hollyoaks sad tonite
1,look like another sober weekend ahead
1,oh god cheesy disco music started everyone getting table need wine
1,1st place competition superior
0,topic missed motorcade secret service tricked u all bush clinton
0,redbaff popcorn fruitcake now but chocolate
1,meghanian think got fixed woo hoo
1,back hospital doc say live
0,fell think knee broken look fabulous
1,susiecheng need simple reminder thx
0,greggrunberg showin love ya really gonna miss greg beeman s directing next season ya ll s commentary r funny
1,chrisfullman would never thing thing awesomerer minute walk work
1,cherrybaby2001 glad like it
0,hate bff groundedd boooooooooo
0,apparently starwars day today like shame revision though
0,painful sound world cry someone love what s worse can t even hold say sorry
1,ff arieschild vega buddy amp laker lover uuugh love even though way n chicago
0,smiley92 u lot bad thing r gonna final next week
1,loving phuket melai badette coming home soon imiss everyone
